po_number,planning_date,po_line_low_sts,days_past_due
1410953,2021-12-13,50,1104
1410953,2021-12-13,50,1104
1410953,2021-12-13,50,1104
1410953,2021-12-13,50,1104
1414051,2021-12-20,50,1097
1414051,2021-12-20,50,1097
1414051,2021-12-20,50,1097
1414051,2021-12-20,50,1097
1414756,2021-12-23,50,1094
1414755,2021-12-23,50,1094
1414756,2021-12-23,50,1094
1414755,2021-12-23,50,1094
1414755,2021-12-23,50,1094
1414756,2021-12-23,50,1094
1414755,2021-12-23,50,1094
1414756,2021-12-23,50,1094
1416399,2022-01-03,50,1083
1416399,2022-01-03,50,1083
1416399,2022-01-03,50,1083
1416399,2022-01-03,50,1083
1417245,2022-01-06,50,1080
1417245,2022-01-06,50,1080
1417245,2022-01-06,50,1080
1417245,2022-01-06,50,1080
1418601,2022-01-10,50,1076
1418601,2022-01-10,50,1076
1418602,2022-01-10,50,1076
1418601,2022-01-10,50,1076
1418602,2022-01-10,50,1076
1418601,2022-01-10,50,1076
1418602,2022-01-10,50,1076
1418602,2022-01-10,50,1076
1465161,2022-04-29,50,967
1465163,2022-04-29,50,967
1465162,2022-04-29,50,967
1465163,2022-04-29,50,967
1465162,2022-04-29,50,967
1465164,2022-04-29,50,967
1465161,2022-04-29,50,967
1465161,2022-04-29,50,967
1465164,2022-04-29,50,967
1465162,2022-04-29,50,967
1465164,2022-04-29,50,967
1465161,2022-04-29,50,967
1465162,2022-04-29,50,967
1465163,2022-04-29,50,967
1465164,2022-04-29,50,967
1465163,2022-04-29,50,967
1505495,2022-08-11,50,863
1505495,2022-08-11,50,863
1505495,2022-08-11,50,863
1505495,2022-08-11,50,863
1587408,2023-05-26,50,575
1587408,2023-05-26,50,575
1587408,2023-05-26,50,575
1587408,2023-05-26,50,575
1721662,2024-06-28,20,176
1721662,2024-06-28,20,176
1721662,2024-06-28,20,176
1721662,2024-06-28,20,176
1721662,2024-06-28,20,176
1721662,2024-06-28,20,176
1724902,2024-07-12,50,162
1724902,2024-07-12,50,162
1724902,2024-07-12,50,162
